,FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y,label
1154,5.28,-3.703,-1.455,0.702,1.292,-1.404,9.735,-2.167,-2.401,-0.122,-4.883,-0.732,0.0,-0.732,-4.232,-13.092,3.571,-2.991,4.059,3.133,2.055,-0.336,2.604,5.412,6.948,2.391,-0.193,4.415,3.642,3.54,18.27,-9.379,-2.94,-0.417,-5.219,-0.244,-1.943,0.661,-5.717,0.346,8.28,1.404,4.313,2.177,2.33,3.255,-0.763,-1.302,-1.048,3.906,3.164,7.111,3.235,-0.834,-0.397,4.171,0.01,3.571,6.47,2.93,3.347,0.732,-13.123,-12.533,1
1155,6.256,-3.215,-0.478,0.214,0.804,-1.404,10.223,-1.678,-0.936,-1.099,-0.977,-0.732,1.465,-10.01,-14.486,-11.627,4.059,-4.944,4.547,3.133,2.543,-0.336,3.581,6.877,7.924,5.809,2.248,4.903,4.13,4.517,19.246,-8.403,0.478,-1.882,-0.336,-1.221,-1.943,-3.245,-5.229,-1.607,9.257,-4.944,3.825,1.689,2.818,-0.163,0.214,-0.814,-1.536,5.371,3.164,8.087,3.235,-1.322,0.092,6.124,0.498,5.035,5.981,3.418,4.323,1.221,-12.634,-12.533,1
1156,6.744,-3.215,0.01,-0.275,-0.173,-0.916,9.735,-0.702,-0.936,1.831,-0.977,-0.732,0.977,-13.428,-15.462,-11.627,2.594,-3.479,2.106,3.621,2.055,0.641,2.604,6.877,7.924,6.297,2.248,4.415,4.13,4.028,19.246,-8.891,-0.498,-3.347,0.641,-0.244,-2.92,-4.222,-4.74,-1.607,7.792,-4.456,-0.081,1.2,3.306,-0.163,0.702,-1.302,-3.977,6.836,1.699,7.111,3.235,-0.346,-0.397,6.124,0.498,5.035,5.981,3.418,4.323,1.709,-13.123,-13.021,1
1157,6.256,-3.703,0.01,-1.251,-1.638,-0.916,8.27,-0.214,-2.889,5.249,-5.371,0.244,-0.488,-10.986,-6.185,-13.092,-0.336,-0.061,-1.801,4.11,1.078,1.617,1.139,6.388,6.948,3.367,-0.682,3.438,2.665,2.563,16.805,-10.844,-4.893,-4.323,-1.801,1.221,-2.431,-2.268,-5.229,0.346,4.374,1.404,-5.452,1.2,2.818,3.743,1.19,-2.279,-6.907,7.812,-0.743,4.181,1.77,1.119,-2.35,4.171,0.01,4.059,4.517,2.93,2.858,1.709,-15.564,-14.974,1
1158,4.791,-5.168,-0.478,-3.693,-2.126,-0.427,6.317,0.275,-5.33,7.69,-11.23,1.221,-1.953,-6.592,6.51,-15.533,-3.754,2.869,-5.219,2.645,-0.387,2.106,-0.814,4.924,5.483,-1.027,-5.076,1.485,0.712,0.61,13.387,-12.797,-9.288,-6.276,-5.707,2.686,-0.478,-0.315,-6.694,2.787,0.956,7.263,-10.335,0.712,1.841,6.673,2.655,-3.743,-9.349,7.324,-2.696,1.74,0.305,3.072,-4.791,1.729,0.01,2.594,3.052,2.441,1.394,2.197,-17.517,-17.415,1
1159,3.815,-6.632,-1.943,-7.111,-2.614,-0.427,4.364,-0.214,-6.307,6.226,-14.648,1.221,-3.418,-4.639,12.858,-17.487,-4.73,3.357,-6.195,1.18,-0.875,2.594,-1.79,2.97,4.506,-4.445,-7.517,0.02,-1.241,-2.319,9.969,-14.262,-11.241,-8.718,-8.148,2.197,0.01,0.661,-8.158,3.764,0.468,7.263,-10.824,0.224,1.353,6.185,4.12,-4.72,-9.837,6.836,-4.161,0.275,-0.183,4.049,-7.233,-1.2,-0.478,0.153,1.099,1.465,0.417,2.686,-18.982,-18.88,1
1160,4.303,-8.097,-4.873,-8.087,-3.103,-0.916,2.899,-1.19,-6.307,3.296,-13.672,0.732,-3.906,-5.127,9.44,-18.951,-3.265,1.404,-4.73,0.203,-0.387,2.594,-2.279,1.994,4.506,-5.91,-8.494,-1.444,-2.706,-5.249,7.528,-14.262,-9.776,-10.671,-8.148,0.244,-2.431,-0.315,-8.647,2.787,1.933,2.38,-6.917,-0.264,0.865,2.279,3.143,-5.697,-8.372,6.836,-4.161,-0.214,0.305,3.56,-8.698,-4.13,-0.966,-1.312,-0.854,0.0,-0.071,2.686,-18.982,-18.88,1
1161,6.256,-8.097,-6.826,-6.134,-3.103,-0.427,2.411,-1.678,-4.842,0.854,-9.766,-0.732,-3.418,-6.592,0.163,-17.975,-0.824,0.427,-2.777,1.668,0.59,2.594,-1.302,1.506,4.995,-6.399,-8.494,-2.909,-3.194,-7.202,5.575,-12.309,-6.358,-9.694,-6.195,-0.732,-7.314,-1.292,-8.158,1.322,5.351,-2.014,-0.57,-0.753,1.353,-3.581,0.702,-6.185,-5.931,7.324,-4.161,-0.214,0.793,3.072,-9.186,-5.595,-0.966,-2.289,-2.319,-0.488,-0.071,2.686,-18.005,-17.415,1
1162,8.209,-6.632,-7.314,-2.228,-2.126,0.061,2.411,-1.19,-2.889,0.854,-6.348,-1.221,-3.418,-6.592,-5.697,-15.533,1.129,0.916,-2.289,5.086,0.59,2.594,-1.79,1.994,5.483,-5.422,-8.982,-3.398,-3.194,-8.667,5.086,-10.844,-3.916,-5.788,-4.242,-0.732,-10.244,-1.78,-6.205,0.346,7.304,-2.014,3.337,-0.753,2.33,-7.975,-3.204,-5.208,-4.954,9.277,-5.137,0.275,1.282,3.072,-9.674,-5.595,-1.455,-2.777,-3.296,-0.977,0.417,2.686,-16.052,-15.951,1
1163,10.162,-4.191,-5.849,1.678,-0.661,1.526,2.411,-0.702,-2.401,2.808,-5.371,-0.732,-2.93,-4.15,-3.255,-13.58,0.641,2.869,-3.754,8.993,0.59,3.082,-1.79,2.482,5.971,-4.445,-10.447,-3.886,-3.194,-9.155,5.575,-8.891,-2.94,0.559,-3.754,0.244,-8.291,-1.78,-4.252,0.834,7.792,3.357,2.36,-0.264,3.306,-8.952,-7.599,-3.743,-5.931,11.23,-5.625,1.251,1.282,4.537,-10.162,-5.107,-1.455,-2.777,-3.296,0.0,0.417,3.174,-14.587,-14.974,1
1164,11.627,-1.75,-3.896,2.167,0.804,2.991,2.899,-0.702,-2.401,4.272,-6.836,-0.244,-3.418,-1.709,4.557,-13.092,-1.801,4.822,-5.707,11.434,0.102,3.571,-2.767,2.97,5.971,-3.957,-12.889,-3.398,-3.194,-8.667,7.039,-7.914,-3.916,4.466,-4.73,0.732,-2.92,-2.268,-2.299,1.322,6.816,8.728,-2.035,0.224,3.306,-6.022,-10.529,-2.279,-7.395,11.23,-6.602,1.74,0.793,5.025,-10.162,-5.107,-1.455,-2.777,-2.319,-0.488,0.417,3.174,-14.099,-13.997,1
1165,12.604,-0.285,-2.431,-0.763,2.268,2.991,3.387,-1.678,-2.889,4.272,-7.812,0.244,-3.418,-0.732,9.44,-14.069,-3.265,4.333,-6.195,10.946,0.102,3.571,-2.767,1.994,5.971,-3.957,-13.865,-3.398,-3.194,-8.179,8.016,-7.914,-4.893,4.954,-5.707,-0.244,1.963,-3.733,-1.322,1.322,5.839,9.216,-5.452,0.224,2.818,0.326,-11.993,-0.814,-7.884,9.766,-6.114,0.763,0.793,5.025,-9.674,-5.107,-1.455,-2.777,-1.343,-0.488,0.417,3.174,-14.587,-14.486,1
1166,14.069,-0.773,-2.92,-5.157,2.757,2.991,3.387,-3.632,-2.889,2.319,-7.324,0.244,-3.418,-1.709,5.534,-16.022,-2.289,1.892,-4.73,7.528,1.078,2.594,-1.79,0.041,5.971,-5.422,-12.889,-3.886,-3.194,-8.179,8.504,-8.403,-4.405,1.048,-5.707,-1.709,1.475,-5.686,-0.834,0.346,6.327,4.333,-5.452,-0.753,1.841,7.65,-11.505,-0.814,-6.419,7.324,-5.137,-2.167,1.282,3.072,-9.186,-6.083,-1.943,-2.777,0.122,-1.465,0.417,3.174,-15.564,-15.462,1
1167,14.557,-2.238,-4.873,-6.622,1.78,2.502,3.387,-4.608,-2.889,0.366,-4.883,-0.732,-3.906,-4.15,-5.697,-16.998,0.641,-1.038,-2.289,3.621,2.055,1.617,-0.326,-1.424,6.46,-7.375,-9.959,-4.374,-2.706,-8.179,9.481,-9.379,-2.94,-3.835,-5.219,-3.174,-6.337,-5.686,-1.322,-1.119,7.304,-2.502,-1.058,-1.241,-0.112,13.021,-9.064,-1.79,-4.466,5.859,-3.184,-4.608,2.258,2.096,-7.721,-8.036,-2.431,-3.265,0.61,-2.441,1.394,3.662,-17.029,-16.927,1
1168,13.58,-3.703,-6.826,-4.669,0.315,2.502,2.411,-3.632,-2.889,-0.122,-2.93,-1.221,-4.395,-6.104,-15.951,-16.51,2.594,-2.502,-0.824,2.157,3.031,1.129,1.139,-2.401,6.46,-8.352,-6.541,-5.351,-1.729,-7.69,10.457,-8.891,-0.987,-5.788,-4.73,-2.686,-17.08,-4.222,-2.787,-1.607,7.792,-5.92,1.872,-2.218,-1.088,13.021,-6.622,-2.279,-3.001,6.348,-1.719,-5.585,2.747,0.631,-6.256,-9.013,-2.92,-3.265,0.61,-2.93,1.882,3.662,-18.005,-17.415,1
1169,12.115,-4.191,-6.337,-0.275,-1.149,3.479,1.923,-2.167,-3.377,-0.122,-2.93,-1.221,-5.371,-5.615,-16.927,-15.045,3.082,-1.526,-0.824,2.645,3.52,0.641,2.116,-2.401,6.948,-8.352,-4.588,-5.351,-0.753,-7.202,11.922,-7.426,0.478,-3.835,-4.242,-0.732,-22.451,-1.292,-3.276,-0.631,7.792,-3.479,1.383,-1.729,-1.577,7.161,-3.693,-2.279,-3.001,7.812,-1.231,-4.12,3.235,1.119,-4.303,-8.525,-2.92,-3.265,1.099,-2.93,1.882,3.174,-17.029,-16.927,1
1170,10.162,-3.215,-2.92,3.143,-1.149,4.944,1.923,0.275,-2.889,1.831,-3.418,-0.732,-4.883,-0.732,-8.138,-12.604,2.106,0.916,-1.801,5.086,3.031,1.129,1.628,-0.936,6.948,-7.375,-4.1,-4.862,-0.264,-6.226,12.899,-5.961,1.455,-0.417,-3.754,2.197,-19.033,1.638,-2.787,0.834,7.304,2.869,-2.523,-0.264,-0.6,-2.116,-0.275,-1.302,-4.466,9.277,-1.231,-1.678,3.235,2.096,-3.326,-7.06,-2.431,-3.265,1.099,-2.441,1.882,3.174,-14.587,-14.486,1
1171,9.674,-1.261,3.428,4.12,-0.173,6.409,2.899,1.251,-1.912,4.761,-2.441,0.244,-3.906,7.08,3.581,-11.139,1.617,2.869,-1.801,6.551,2.055,1.129,1.139,-0.448,5.971,-6.399,-4.588,-4.862,-0.753,-5.737,12.899,-5.473,0.966,2.024,-1.801,5.127,-8.779,3.103,-1.322,2.787,8.28,9.216,-4.476,1.2,0.865,-9.928,1.678,0.163,-4.954,9.277,-1.231,-1.19,3.235,3.072,-3.815,-6.571,-1.455,-3.754,0.61,-2.93,0.905,2.686,-12.146,-12.044,1
1172,11.139,-0.285,8.799,2.655,0.804,6.897,4.852,1.74,-0.448,7.69,0.488,0.732,-1.953,15.381,9.928,-11.139,3.082,3.357,-0.336,7.039,2.055,0.641,0.163,-0.448,5.483,-7.375,-5.564,-5.351,-2.218,-6.714,11.434,-6.938,-0.01,2.024,0.153,6.592,1.475,4.567,-0.346,3.764,10.722,12.146,-0.081,2.665,2.33,-11.882,3.632,0.651,-3.489,7.812,-1.231,-2.655,4.211,3.072,-5.768,-7.06,0.01,-4.73,-0.366,-3.418,-0.071,1.709,-11.169,-11.068,1
1173,12.604,-0.773,9.776,0.702,1.292,6.409,6.317,1.251,1.506,10.132,3.418,1.221,0.0,19.775,8.464,-12.115,6.5,2.869,3.571,6.551,2.543,-0.336,0.651,-0.936,4.995,-8.352,-5.076,-5.839,-3.194,-7.202,9.481,-10.356,-0.987,0.071,2.106,7.08,5.87,5.544,0.142,4.252,13.163,11.658,9.196,2.665,3.306,-8.464,4.608,0.163,-1.048,7.324,-0.743,-3.632,5.676,3.072,-7.233,-8.525,0.987,-4.73,-1.343,-3.906,-1.048,1.709,-12.146,-12.044,1
1174,13.092,-3.215,6.358,-0.763,0.315,4.944,6.805,-0.214,1.017,10.132,2.93,1.221,0.977,16.357,3.581,-14.069,8.942,2.38,6.989,7.039,3.031,-0.336,1.628,-0.448,5.483,-8.352,-3.611,-5.351,-3.194,-7.202,8.993,-14.75,-2.452,-1.394,2.106,5.127,3.916,5.544,-1.322,3.276,13.652,9.216,17.497,1.689,3.306,-1.139,5.096,-1.79,1.394,7.812,0.722,-2.655,6.165,2.584,-6.744,-8.036,0.987,-4.242,-1.343,-3.418,-0.559,1.709,-15.076,-14.974,1
1175,11.627,-5.168,0.987,-0.763,-1.149,3.967,5.341,-1.678,-0.936,7.202,-1.465,0.732,0.488,4.639,1.628,-15.533,8.942,1.892,8.942,8.993,4.008,0.641,4.069,1.994,6.948,-5.91,-0.682,-2.421,-0.753,-4.272,11.922,-16.703,-2.94,-1.882,1.129,1.709,-0.966,5.056,-2.787,1.811,11.698,6.287,18.473,0.224,1.841,6.185,6.073,-3.255,1.882,9.277,2.675,1.74,5.676,2.584,-3.815,-5.595,-0.478,-1.801,1.587,-1.953,1.394,2.197,-17.517,-17.415,1
1176,8.698,-6.144,-1.943,-0.275,-1.638,3.479,3.387,-3.632,-3.377,2.808,-7.324,0.244,-0.977,-10.01,5.534,-15.045,5.524,1.892,8.453,10.946,3.52,1.617,6.022,5.9,8.413,-1.027,2.248,1.485,3.153,-0.854,16.805,-17.192,-2.452,-0.905,-0.824,-2.686,-2.431,2.614,-4.252,-0.142,7.792,3.845,10.661,-1.241,-0.112,11.068,8.026,-4.72,0.417,10.254,5.117,6.622,4.211,2.584,1.556,-0.712,-1.455,1.617,5.981,1.465,3.835,2.686,-17.029,-16.927,1
1177,6.744,-5.656,0.498,-1.251,-1.149,3.479,1.434,-4.608,-4.354,-1.587,-10.742,-0.732,-1.953,-22.217,12.37,-13.092,1.617,0.916,6.5,11.922,3.52,3.082,7.487,8.83,9.878,3.855,5.178,5.88,6.571,3.052,21.688,-14.262,-0.498,0.559,-1.801,-4.639,1.475,-0.804,-4.252,-1.607,5.351,1.892,-0.081,-2.706,-0.6,13.021,10.468,-4.72,-1.536,10.742,7.07,9.552,2.258,2.096,6.927,4.659,-2.431,5.524,10.376,4.395,6.276,3.174,-14.099,-13.997,1
1178,6.744,-3.703,6.358,-2.716,0.804,3.967,0.458,-5.585,-2.889,-3.052,-9.277,-1.221,-2.93,-25.146,16.764,-10.162,-0.824,-0.061,5.524,11.922,3.52,3.571,8.952,10.783,10.366,6.785,7.619,8.809,9.013,5.493,23.153,-11.332,1.943,0.559,-0.824,-4.639,6.846,-3.245,-2.299,-2.096,5.839,0.916,-6.429,-2.706,-0.112,13.021,11.932,-3.743,-2.024,11.23,8.046,10.04,1.282,2.096,9.369,8.077,-2.92,7.477,13.306,6.348,7.741,3.174,-9.216,-9.115,1
1179,8.698,-2.238,11.241,-4.669,2.757,4.944,0.458,-5.096,0.041,-0.61,-3.906,-1.221,-2.441,-18.799,14.811,-8.698,0.641,-0.061,5.524,11.922,3.52,3.571,9.44,10.783,10.854,6.785,8.596,9.298,9.013,5.981,21.2,-9.379,3.408,-0.417,1.129,-2.197,8.311,-3.733,-0.346,-1.607,8.769,0.916,-2.523,-1.729,1.353,10.579,11.932,-2.279,-1.048,11.23,8.046,9.064,1.77,1.607,9.369,9.054,-2.431,7.965,13.306,6.836,8.23,3.174,-5.798,-5.208,1
1180,10.651,-1.261,11.241,-5.646,3.245,5.432,0.946,-4.12,2.97,3.296,0.977,-1.221,-2.441,-6.592,7.975,-8.698,4.059,0.916,6.989,12.41,4.008,3.571,9.44,10.295,11.342,5.32,8.108,8.809,8.036,4.517,17.293,-9.379,3.896,-1.394,2.594,0.732,4.405,-2.268,0.631,0.834,11.698,2.869,6.266,-1.241,2.818,5.697,10.468,-1.79,0.417,12.207,7.558,9.064,2.747,2.096,7.904,8.077,-1.943,7.477,11.841,6.836,7.741,3.174,-4.333,-3.743,1
1181,11.627,-1.75,6.358,-4.669,2.757,5.92,0.946,-3.143,3.459,7.202,2.441,-0.732,-1.953,5.127,1.139,-10.651,6.5,2.38,8.453,12.899,4.496,3.571,8.464,9.806,11.831,4.344,6.154,7.345,6.571,3.54,13.875,-10.844,2.431,-1.394,2.106,2.686,-1.943,0.173,-0.834,2.787,12.187,4.333,13.59,-0.753,3.306,0.326,6.561,-2.279,0.905,12.695,6.093,9.064,3.723,2.584,5.463,6.612,-1.943,6.012,9.399,5.859,6.765,3.662,-4.822,-4.72,1
1182,10.162,-2.726,0.498,-2.228,1.292,5.432,0.946,-2.655,1.994,8.667,0.488,-0.244,-2.441,11.475,-0.326,-13.58,6.5,2.38,6.989,10.946,4.496,3.082,7.487,8.341,10.366,3.855,2.248,6.368,5.107,2.563,11.434,-13.285,0.478,-1.394,0.641,2.197,-4.384,2.126,-2.299,3.764,10.722,5.798,13.59,-0.753,2.33,-2.604,3.143,-2.767,-1.048,11.23,3.652,8.087,3.723,3.072,3.021,5.636,-2.431,4.547,7.935,4.883,5.788,3.662,-6.775,-6.673,1
1183,8.209,-3.703,-2.431,1.19,0.804,5.432,0.458,-3.143,-0.448,7.69,-1.465,-0.244,-1.953,10.986,3.581,-15.045,3.571,1.892,4.059,7.039,2.543,2.594,4.557,6.388,8.901,2.879,-2.635,4.903,4.13,1.587,10.457,-14.75,-1.475,-1.394,0.153,1.221,0.01,2.126,-4.252,4.252,7.792,5.31,6.755,-1.729,1.353,-2.116,-0.275,-3.255,-4.466,8.301,0.722,3.693,2.258,3.072,0.092,4.171,-2.431,3.082,6.47,3.418,4.323,3.174,-9.216,-9.115,1
1184,6.744,-3.703,-0.478,2.655,-0.173,4.944,-0.031,-3.632,-2.401,6.226,-2.93,-0.732,-1.465,6.592,9.44,-15.533,0.153,0.916,0.153,2.157,1.567,1.129,2.116,2.97,6.46,0.437,-6.541,2.462,2.665,-0.854,8.016,-15.727,-2.94,-1.882,1.129,0.732,8.799,1.638,-4.74,3.276,6.327,4.822,-1.058,-1.729,-0.112,1.79,-1.74,-3.743,-6.907,4.883,-2.207,-2.167,0.793,2.584,-2.838,1.729,-2.92,1.617,4.517,1.953,2.858,3.174,-10.681,-10.579,1
1185,5.768,-3.703,3.428,3.143,-0.173,4.944,-1.495,-3.632,-3.377,4.761,-1.465,-1.221,-1.465,2.686,12.37,-15.045,-1.801,0.916,-1.801,-0.285,0.59,0.641,0.651,0.529,4.018,-3.957,-8.006,0.509,1.2,-3.296,4.598,-15.238,-2.94,-3.347,2.594,1.221,14.17,1.149,-4.74,2.299,5.839,5.31,-4.964,-2.218,-1.088,6.185,-1.251,-3.743,-7.395,3.418,-3.672,-5.585,0.793,2.096,-6.744,-1.689,-3.408,0.153,2.075,0.488,1.882,2.686,-12.146,-12.044,1
1186,5.28,-3.703,5.381,1.678,-1.149,4.944,-1.984,-3.143,-3.866,4.761,-0.977,-1.221,-1.953,2.197,10.417,-14.557,-1.312,1.404,-2.289,2.157,0.59,1.129,0.651,0.041,3.53,-6.399,-7.029,0.02,0.712,-4.761,1.668,-15.238,-2.452,-3.835,3.082,2.686,11.241,2.126,-4.252,0.834,5.839,7.263,-3.499,-2.218,-2.065,8.138,0.214,-4.232,-5.931,4.883,-3.672,-4.12,-0.183,2.096,-7.721,-3.642,-3.408,0.153,1.099,0.0,1.882,3.174,-13.611,-13.509,1
1187,4.303,-4.191,3.428,0.214,-2.126,4.944,-2.96,-2.655,-5.33,4.761,-1.465,-1.709,-2.93,4.15,4.069,-15.045,-0.336,2.38,-1.312,7.528,1.567,2.594,2.116,2.97,5.483,-5.91,-4.1,1.485,2.177,-3.296,1.668,-15.727,-1.475,-2.37,1.129,3.174,0.01,3.591,-3.764,0.346,5.839,9.216,-0.081,-2.218,-3.042,7.65,1.19,-4.72,-4.466,7.812,-1.231,1.74,0.305,2.584,-6.256,-2.177,-3.896,2.106,2.075,1.953,3.835,3.662,-15.076,-14.974,1
1188,2.838,-4.191,-0.966,-0.275,-3.591,4.944,-3.937,-3.143,-7.284,3.784,-4.395,-1.709,-3.906,5.127,-3.743,-16.51,0.641,2.38,-0.336,11.922,3.031,4.547,4.557,7.365,7.924,-2.004,-1.658,4.415,4.618,0.122,4.11,-18.168,-0.987,0.071,-3.754,2.197,-12.197,3.103,-4.252,-0.631,4.862,8.728,0.895,-3.194,-4.018,5.208,0.702,-5.208,-3.977,9.766,0.722,7.111,0.793,3.072,-2.35,1.241,-3.896,5.035,5.493,4.883,5.788,5.127,-16.541,-16.439,1
1189,0.397,-4.191,-5.849,-0.763,-5.056,4.944,-3.937,-4.608,-8.748,1.831,-7.812,-2.197,-3.906,3.174,-10.091,-18.463,-0.336,0.916,0.153,12.41,4.008,5.035,5.534,10.295,10.366,1.902,-1.658,6.856,7.06,3.54,8.016,-20.61,-2.94,1.048,-9.125,-0.244,-20.009,1.149,-4.74,-1.607,3.398,5.31,-1.546,-3.194,-4.995,4.232,-1.74,-5.697,-4.954,9.277,1.211,8.575,0.793,2.584,0.092,4.659,-4.384,7.965,8.911,7.324,7.741,6.104,-18.982,-18.88,1
1190,-2.045,-4.679,-8.779,-1.251,-5.544,4.944,-3.937,-6.073,-9.725,-0.122,-9.277,-2.686,-3.906,-1.221,-13.509,-20.416,-1.801,-1.526,-0.824,8.504,4.008,4.547,5.534,9.318,10.366,2.879,-4.1,7.345,7.06,3.54,8.993,-23.051,-6.358,1.048,-12.543,-2.686,-19.033,-2.268,-5.229,-2.096,1.933,0.427,-4.964,-3.682,-5.483,5.208,-4.669,-6.185,-5.931,6.348,-0.254,5.157,0.305,1.607,-0.397,4.659,-4.384,7.965,8.911,7.324,7.741,5.615,-21.912,-21.81,1
1191,-3.51,-5.168,-9.755,-1.251,-5.056,4.456,-3.448,-6.561,-9.725,-0.61,-9.766,-3.174,-3.418,-3.174,-13.021,-21.393,-2.289,-2.991,-1.312,3.133,3.031,2.106,3.581,5.9,8.413,-1.027,-8.006,3.927,4.13,-0.366,7.039,-23.051,-10.752,-0.417,-12.543,-2.686,-13.173,-3.733,-6.205,-1.607,1.444,-2.014,-6.429,-3.682,-5.483,5.697,-6.622,-6.673,-6.907,3.418,-2.207,-0.214,0.305,0.631,-3.815,0.753,-4.384,4.547,5.493,4.395,5.3,4.639,-25.33,-25.228,1
1192,-3.998,-5.168,-9.755,-0.763,-4.567,4.456,-2.96,-5.096,-10.213,1.343,-9.766,-3.174,-2.93,-0.244,-9.603,-20.905,-2.289,-2.502,-1.801,0.692,1.567,-0.336,0.651,1.017,4.506,-7.375,-11.912,-1.444,-0.753,-6.226,1.668,-21.098,-13.682,-1.394,-10.59,-0.732,-8.291,-2.757,-6.205,0.346,0.956,0.427,-4.476,-3.194,-5.483,4.232,-7.599,-6.673,-6.907,1.953,-4.649,-4.12,0.305,-0.346,-8.698,-5.595,-3.408,-0.336,-1.343,0.0,2.37,3.174,-28.748,-28.158,1
1193,-3.51,-4.679,-10.244,1.19,-4.079,3.967,-2.472,-2.655,-10.701,4.761,-11.23,-2.686,-3.418,6.592,-4.232,-18.463,-1.801,-0.549,-2.289,1.18,0.59,-1.801,-1.302,-2.401,1.577,-11.77,-13.377,-6.327,-4.171,-11.597,-1.75,-18.168,-13.194,-0.417,-8.636,2.686,-7.314,1.149,-6.205,2.787,0.468,5.31,-1.546,-2.218,-5.483,0.326,-8.087,-6.185,-6.419,1.953,-5.625,-4.608,0.305,0.142,-11.627,-10.478,-3.408,-4.73,-6.714,-3.418,-0.559,1.709,-30.212,-30.111,1
1194,-2.533,-3.703,-11.709,3.143,-3.591,4.456,-1.984,-0.214,-11.678,8.179,-13.184,-1.221,-3.906,10.986,1.139,-16.51,-1.312,1.404,-3.265,3.621,0.102,-1.801,-1.79,-2.401,0.6,-11.281,-13.377,-8.28,-5.636,-13.062,-2.726,-15.238,-9.776,2.024,-8.148,4.639,-9.755,4.567,-5.229,4.74,0.468,9.705,-1.546,-1.729,-5.483,-3.092,-8.087,-5.697,-6.907,2.441,-5.625,-2.167,0.305,1.119,-11.139,-11.454,-2.431,-6.683,-8.179,-4.883,-2.024,0.732,-29.236,-28.646,1
1195,-1.556,-2.726,-11.709,5.585,-4.079,5.432,-1.495,0.763,-11.19,10.132,-14.16,0.244,-3.906,9.033,2.604,-14.557,-2.289,2.869,-4.242,5.575,0.102,-0.824,-1.79,-0.448,0.6,-6.887,-11.424,-6.816,-4.659,-11.108,0.203,-14.262,-5.87,3.977,-8.636,5.615,-11.22,5.544,-4.252,4.74,0.956,9.705,-4.476,-0.753,-4.995,-3.092,-8.087,-4.72,-7.884,3.418,-5.137,0.275,0.305,2.096,-7.721,-9.013,-1.943,-6.195,-5.737,-3.906,-2.024,0.732,-25.818,-25.716,1
1196,-0.58,-1.75,-10.244,6.073,-3.591,6.409,-1.007,0.275,-10.213,9.644,-14.16,1.709,-2.93,0.732,1.139,-14.069,-3.265,2.38,-5.219,5.575,-0.387,0.641,-0.814,1.506,2.065,-1.027,-9.471,-4.374,-2.706,-8.667,2.645,-14.262,-3.916,4.466,-8.636,4.639,-9.267,4.079,-2.787,4.252,1.444,6.287,-7.894,-0.264,-4.506,1.79,-7.599,-3.743,-8.372,3.906,-4.161,1.74,0.305,3.072,-4.791,-5.107,-1.455,-4.242,-1.343,-1.953,-1.536,0.732,-22.4,-21.81,1
1197,-0.58,-0.773,-7.802,6.561,-2.126,7.874,-0.519,-0.214,-8.26,8.667,-11.719,2.686,-1.953,-5.127,-1.302,-14.069,-4.242,2.38,-5.219,5.086,-0.387,1.129,-0.814,2.482,3.53,1.414,-8.006,-3.398,-2.218,-7.202,3.133,-15.238,-3.916,3.977,-8.148,4.15,-3.408,1.638,-2.299,2.787,2.909,3.357,-8.87,0.712,-4.018,7.65,-6.622,-3.255,-8.86,5.371,-4.161,1.251,0.305,3.072,-4.303,-3.153,-0.966,-3.754,1.587,-1.465,-1.048,0.732,-19.47,-18.88,1
1198,-2.045,-0.285,-6.337,6.073,-0.661,7.874,-0.519,-0.214,-7.284,7.69,-8.789,2.197,-0.977,-3.174,-1.302,-14.557,-3.754,3.357,-4.242,6.551,-0.875,0.641,-1.302,1.506,4.018,-0.051,-8.006,-4.374,-3.682,-8.667,0.203,-14.75,-5.381,2.513,-7.172,4.639,1.963,2.126,-1.322,2.787,3.886,4.822,-6.429,0.712,-3.53,12.533,-4.181,-2.767,-8.372,7.324,-4.649,-0.214,-0.183,3.072,-6.744,-3.642,-0.966,-4.73,0.61,-1.953,-1.536,0.244,-18.494,-18.392,1
1199,-4.486,-0.773,-7.314,6.073,-0.173,7.874,-0.519,0.763,-7.284,8.179,-6.348,1.709,-0.488,6.104,2.116,-15.045,-3.265,5.31,-2.289,8.504,-1.363,-0.336,-1.79,-0.448,4.506,-4.445,-8.006,-7.304,-6.124,-11.597,-3.215,-13.285,-5.87,2.513,-6.195,5.615,3.916,5.056,-1.322,2.787,4.374,9.705,-1.058,1.2,-3.042,12.533,-2.228,-3.255,-6.907,8.789,-5.137,-1.678,-0.183,3.072,-9.674,-6.571,-0.966,-7.172,-3.296,-3.418,-3.001,-0.244,-19.958,-19.857,1
